paper title ,excluded,selected
Summary of ChatGPT Related Research and Perspective Towards the Future of Large Language Models,0,0
Empathetic Algorithms: The Role of AI in Understanding and Enhancing Human Emotional Intelligence,0,0
Future of AI & generation alpha: ChatGPT beyond boundaries,0,0
"GitHub, Copilot and the Copyright Around AI",1,0
"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",0,0
Summary of ChatGPT/GPT-4 research and perspective towards the future of large language models,1,0
A survey of large language models,0,0
Six tips for better coding with ChatGPT,1,0
A comprehensive review of state-of-the-art methods for java code generation from natural language text,0,0
Artificial hallucinations in ChatGPT: Implications in scientific writing,0,0
CodeRL: Mastering code generation through pretrained models and deep rein forcement learning,0,0
Competition-level code generation with alphacode,0,0
ChatGPT: Optimizing language models for dialogue?,1,0
Temporary policy: ChatGPT is banned,1,0
A systematic evaluation of large language models of code,0,0
CERT: Continual pre-training on sketches for library oriented code generation,0,0
Generative AI has an intellectual property problem,1,0
Generative AI at Work,0,0
Towards effective AI powered agile project management,0,0
How generative AI is changing creative work,1,0
"So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of enerative conversational AI for research, practice and policy",0,0
Generative AI market size to reach $109.37 billion by,1,0
Opportunities for generative AI in UX modernization,0,0
AI-driven user story points estimation based on natural language processing,1,0
Generative artificial intelligence as a new context for management theories: Analysis of ChatGPT,0,0
A framework for responsible innovation,0,0
Create winning customer experiences with generative AI,1,0
Trends in AI inference energy consumption: beyond the performance-vs-parameter laws of deep learning,0,0
Trends in AI inference energy consumption: Beyond the performance-vs-parameter laws of deep learning,1,0
Green AI,0,0
"Sustainable ai: Environmental implications, challenges and opportunities",0,0
Best Practice Guidelines on Research Integrity and Publishing Ethics,1,0
Generative AI in Teaching and Learning Task Force (GENAI,1,0
Guidance For the Use of Generative AI,1,0
Publishing Ethics | Elsevier Policy,1,0
Using ChatGPT or Other Generative AI Tool on a Marked Assess ment,1,0
AAAI Code of Professional Ethics and Conduct,1,0
IEEE Code of Ethics,1,0
ACM Code of Ethics,1,0
AI and Teaching at Duke,1,0
AI Guidance,1,0
Teaching & Learning with ChatGPT: Opportunity or Quagmire? Part III,1,0
Programming Is Hard- Or at Least It Used to Be: Educational Opportunities And Challenges of AI Code Generation,0,1
Taking Flight with Copilot: Early Insights and Opportunities of AI-Powered Pair-Programming Tools,0,0
"Generative AI Assistants in Software Development Education: A vision for integrating Generative AI into Educational Practice, Not Instinctively Defending Against it",0,0
A Comprehensive AI Policy Education Framework,0,0
Github Copilot AI Pair Pro grammer: Asset or Liability?,0,0
Generative AI with LLMs,1,0
Prompt Problems: A New Programming Exercise for the Generative AI Era,0,0
Robosourcing Educational Resources– Leveraging Large Language Models for Learnersourcing,1,0
AI-Driven Development Is Here: Should You Worry?,0,0
My AI Wants to Know If This Will Be on the Exam: Testing OpenAI’s Codex on CS2 Programming Exercises,0,0
ChatGPT: A New Study Tool Shaping the Future for High School Students,0,0
Net Impact of Large Language Models Trained on Code,0,0
ChatGPT and Software Testing Education: Promises & Perils,0,0
Ethical AI is not about AI,1,0
"ChatGPT for Good? On Opportunities and Challenges of Large Language 
 Models for Education",0,0
Studying the Effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,0,0
AI-Generated Code Not Considered Harmful,0,0
Comparing Code Explanations Created by Students and Large Language Models,0,0
Using Large Language Models to Enhance Program ming Error Messages,0,0
Competition-level Code Generation with AlphaCode,0,0
Intelligence Unleashed: An Argument for AI in Education,0,0
The Implications of Large Language Models for CS Teachers and Students,0,0
Experiences from Using Code Explanations Generated by Large Language Models in a Web Soft ware Development E-Book,0,0
Automatically Generating CS Learning Materials with Large Language Models,0,0
The Ethics of Algorithms: Mapping the Debate,0,0
Here are the Schools and Colleges That Have Banned the Use of ChatGPT over Plagiarism and Misinformation Fears,1,0
Authorship and AI tools,1,0
