original paper,paper title ,excluded,selected
Empowering Human-Machine Communication in Code Generation with NLP,Summary of ChatGPT Related Research and Perspective Towards the Future of Large Language Models,0,0
Empowering Human-Machine Communication in Code Generation with NLP,Empathetic Algorithms: The Role of AI in Understanding and Enhancing Human Emotional Intelligence,0,0
Empowering Human-Machine Communication in Code Generation with NLP,Future of AI & generation alpha: ChatGPT beyond boundaries,0,0
WhyGen: Explaining ML-powered Code Generation by Referring to Training Examples,"GitHub, Copilot and the Copyright Around AI",1,0
ChatGPT for Software Development: Opportunities and Challenges,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",0,0
ChatGPT for Software Development: Opportunities and Challenges,Summary of ChatGPT/GPT-4 research and perspective towards the future of large language models,1,0
ChatGPT for Software Development: Opportunities and Challenges,A survey of large language models,0,0
ChatGPT for Software Development: Opportunities and Challenges,Six tips for better coding with ChatGPT,1,0
ChatGPT for Software Development: Opportunities and Challenges,A comprehensive review of state-of-the-art methods for java code generation from natural language text,0,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,Artificial hallucinations in ChatGPT: Implications in scientific writing,0,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,CodeRL: Mastering code generation through pretrained models and deep rein forcement learning,0,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,Competition-level code generation with alphacode,0,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,ChatGPT: Optimizing language models for dialogue?,1,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,Temporary policy: ChatGPT is banned,1,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,A systematic evaluation of large language models of code,0,0
The �Code� of Ethics: A Holistic Audit of AI Code Generators,CERT: Continual pre-training on sketches for library oriented code generation,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative AI has an intellectual property problem,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative AI at Work,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Towards effective AI powered agile project management,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,How generative AI is changing creative work,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,"So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of enerative conversational AI for research, practice and policy",0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative AI market size to reach $109.37 billion by,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Opportunities for generative AI in UX modernization,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,AI-driven user story points estimation based on natural language processing,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative artificial intelligence as a new context for management theories: Analysis of ChatGPT,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,A framework for responsible innovation,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Create winning customer experiences with generative AI,1,0
Learn to Code Sustainably: An Empirical Study on Green Code Generation,Trends in AI inference energy consumption: beyond the performance-vs-parameter laws of deep learning,0,0
Learn to Code Sustainably: An Empirical Study on Green Code Generation,Trends in AI inference energy consumption: Beyond the performance-vs-parameter laws of deep learning,1,0
Learn to Code Sustainably: An Empirical Study on Green Code Generation,Green AI,0,0
Learn to Code Sustainably: An Empirical Study on Green Code Generation,"Sustainable ai: Environmental implications, challenges and opportunities",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Best Practice Guidelines on Research Integrity and Publishing Ethics,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Generative AI in Teaching and Learning Task Force (GENAI,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Guidance For the Use of Generative AI,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Publishing Ethics | Elsevier Policy,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Using ChatGPT or Other Generative AI Tool on a Marked Assess ment,1,0
